 1 ,        1 , 100.00 ,   0.78
 1 ,       10 ,  70.00 ,   7.54
 1 ,      100 ,  85.00 ,  61.84
 1 ,     1000 ,  82.90 , 136.24
 1 ,    10000 ,  84.02 , 128.62
 1 ,   100000 ,  85.08 , 158.30
 1 ,   500000 ,  84.86 , 151.62
 1 ,  1000000 ,  84.85 , 147.40
 2 ,        1 , 100.00 ,   0.49
 2 ,       10 ,  70.00 ,   4.64
 2 ,      100 ,  87.00 ,  47.30
 2 ,     1000 ,  84.30 , 194.02
 2 ,    10000 ,  84.38 , 245.47
 2 ,   100000 ,  84.73 , 258.58
 2 ,   500000 ,  84.80 , 279.16
 2 ,  1000000 ,  84.76 , 236.62
 4 ,        1 , 100.00 ,   0.49
 4 ,       10 ,  70.00 ,   4.65
 4 ,      100 ,  84.00 ,  48.76
 4 ,     1000 ,  86.10 , 222.17
 4 ,    10000 ,  85.02 , 471.61
 4 ,   100000 ,  84.98 , 491.32
 4 ,   500000 ,  84.75 , 180.78
 4 ,  1000000 ,  84.78 , 101.29
 6 ,        1 , 100.00 ,   0.00
 6 ,       10 ,  60.00 ,   0.00
 6 ,      100 ,  86.00 ,   0.01
 6 ,     1000 ,  85.80 ,   0.46
 6 ,    10000 ,  84.31 ,   3.79
 6 ,   100000 ,  84.74 ,  25.10
 6 ,   500000 ,  84.76 ,  64.33
 6 ,  1000000 ,  84.73 ,  96.91
 8 ,        1 , 100.00 ,   0.01
 8 ,       10 ,  90.00 ,   0.13
 8 ,      100 ,  86.00 ,   1.40
 8 ,     1000 ,  85.70 ,  14.34
 8 ,    10000 ,  85.04 ,  97.92
 8 ,   100000 ,  84.60 , 243.75
 8 ,   500000 ,  84.80 , 259.62
 8 ,  1000000 ,  84.80 , 355.86
