 1 ,        1 , 100.00 ,   0.64
 1 ,       10 , 100.00 ,   5.63
 1 ,      100 ,  85.00 ,  21.69
 1 ,     1000 ,  85.60 ,  25.08
 1 ,    10000 ,  84.70 ,  27.19
 1 ,   100000 ,  85.00 ,  39.61
 1 ,   500000 ,  84.84 ,  82.27
 1 ,  1000000 ,  84.75 ,  83.65
 2 ,        1 , 100.00 ,   0.33
 2 ,       10 , 100.00 ,   3.09
 2 ,      100 ,  85.00 ,  21.78
 2 ,     1000 ,  84.40 ,  43.44
 2 ,    10000 ,  85.15 ,  50.25
 2 ,   100000 ,  84.93 ,  64.21
 2 ,   500000 ,  84.84 , 123.05
 2 ,  1000000 ,  84.82 , 140.12
 4 ,        1 ,   0.00 ,   0.27
 4 ,       10 ,  50.00 ,   2.57
 4 ,      100 ,  85.00 ,  22.12
 4 ,     1000 ,  85.60 ,  76.73
 4 ,    10000 ,  84.79 ,  96.74
 4 ,   100000 ,  84.71 , 108.57
 4 ,   500000 ,  84.71 , 158.59
 4 ,  1000000 ,  84.78 , 206.78
 6 ,        1 , 100.00 ,   0.21
 6 ,       10 ,  90.00 ,   2.26
 6 ,      100 ,  80.00 ,  19.41
 6 ,     1000 ,  82.00 ,  89.26
 6 ,    10000 ,  83.93 , 139.45
 6 ,   100000 ,  84.65 , 161.64
 6 ,   500000 ,  84.82 , 213.45
 6 ,  1000000 ,  84.81 , 265.83
 8 ,        1 ,   0.00 ,   0.18
 8 ,       10 ,  80.00 ,   1.71
 8 ,      100 ,  83.00 ,  16.70
 8 ,     1000 ,  84.80 ,  94.81
 8 ,    10000 ,  85.15 , 183.35
 8 ,   100000 ,  84.57 , 193.16
 8 ,   500000 ,  84.77 , 254.42
 8 ,  1000000 ,  84.80 , 319.32
